UAV Trajectory Coordinates
Step	X(m)	Y(m)	Z(m)	Distance_from_prev
174	50.000	25.488	10.882	0.819
175	49.786	26.757	10.115	1.498
176	50.000	29.425	10.000	2.679
177	50.000	29.856	10.000	0.431
178	50.000	29.549	10.028	0.308
179	50.000	26.766	10.982	2.942
180	50.000	26.337	12.133	1.228
181	50.000	26.434	12.512	0.391
182	50.000	24.840	14.366	2.445
183	50.000	24.241	14.617	0.650
184	50.000	23.448	15.220	0.996
185	50.000	20.892	16.295	2.774
186	50.000	21.311	16.702	0.584
187	50.000	22.066	16.427	0.804
188	50.000	22.496	16.844	0.600
189	50.000	21.044	15.714	1.841
190	50.000	22.852	15.193	1.882
191	50.000	22.530	14.707	0.582
192	50.000	21.173	14.383	1.396
193	50.000	20.805	14.365	0.368
194	50.000	21.414	13.697	0.904
195	50.000	21.174	13.200	0.553
196	50.000	18.121	12.750	3.085
197	50.000	16.970	13.823	1.574
198	50.000	18.382	13.412	1.470
199	50.000	22.092	11.559	4.147
200	49.360	23.889	10.423	2.221
201	49.796	24.808	10.000	1.101
202	50.000	25.892	10.000	1.103
203	50.000	28.655	10.000	2.763
204	49.519	30.005	10.000	1.433
205	50.000	32.214	10.414	2.298
206	50.000	33.501	10.000	1.352
207	50.000	35.924	10.000	2.423
208	50.000	35.743	10.104	0.208
209	50.000	36.290	10.000	0.557
210	50.000	36.089	10.000	0.202
211	50.000	34.192	10.000	1.897
212	50.000	34.011	10.034	0.184
213	50.000	32.000	10.000	2.011
214	50.000	31.061	10.146	0.950
215	50.000	26.955	10.488	4.121
216	50.000	25.330	11.036	1.715
217	50.000	22.785	12.715	3.049
218	50.000	20.989	13.320	1.895
219	50.000	21.989	14.727	1.726
220	50.000	24.713	14.391	2.745
221	50.000	25.251	14.262	0.553
222	50.000	24.741	14.598	0.610
223	50.000	23.066	15.797	2.060
224	50.000	21.223	16.552	1.992
225	50.000	21.402	17.080	0.558
226	50.000	24.323	17.655	2.977
227	50.000	27.286	18.852	3.195
228	50.000	30.465	18.810	3.179
229	50.000	30.290	17.098	1.721
230	50.000	27.198	15.128	3.667
231	50.000	27.155	14.861	0.270
232	50.000	23.702	15.495	3.510
233	49.849	20.210	16.867	3.755
234	50.000	18.450	16.827	1.767
235	50.000	18.054	17.641	0.905
236	50.000	17.266	17.952	0.847
237	49.335	13.850	18.643	3.548
238	50.000	10.103	20.076	4.067
239	50.000	9.267	20.488	0.932
240	50.000	9.282	21.665	1.176
241	50.000	10.578	23.576	2.310
242	50.000	9.958	25.123	1.666
243	50.000	10.324	25.475	0.507
244	50.000	9.719	25.422	0.607
245	50.000	10.214	25.898	0.687
246	50.000	8.596	25.756	1.624
247	50.000	7.857	24.991	1.063
248	50.000	5.903	23.276	2.600
249	50.000	4.738	22.071	1.676
250	50.000	6.602	22.580	1.932
251	50.000	11.025	21.386	4.582
252	50.000	12.024	20.960	1.085
253	50.000	11.084	19.704	1.569
254	50.000	12.009	19.129	1.089
255	50.000	11.594	19.275	0.440
256	50.000	9.592	18.812	2.055
257	50.000	8.965	17.148	1.778
258	50.000	8.094	16.620	1.019
259	50.000	7.691	16.477	0.427
260	50.000	4.899	14.645	3.340
261	50.000	4.870	14.580	0.071
262	50.000	1.707	13.274	3.422
263	50.000	1.664	12.239	1.036
264	50.000	0.026	12.023	1.653
265	50.000	0.005	12.316	0.294
266	50.000	0.946	12.186	0.950
267	50.000	0.926	11.717	0.469
268	50.000	0.000	10.216	1.764
269	50.000	0.000	10.000	0.216
270	50.000	0.000	10.000	0.000
271	50.000	0.352	10.668	0.755
272	50.000	1.035	11.214	0.875
273	50.000	1.474	11.705	0.658
274	50.000	3.299	11.235	1.884
275	50.000	5.384	10.000	2.424
276	50.000	5.624	10.000	0.239
277	50.000	5.026	10.000	0.598
278	50.000	5.139	10.000	0.113
279	50.000	4.147	10.000	0.992
280	50.000	2.762	10.025	1.386
281	49.402	1.977	10.188	1.000
282	49.579	0.658	10.407	1.349
283	50.000	0.000	12.663	2.387
284	50.000	0.000	13.141	0.478
285	50.000	0.964	14.387	1.575
286	50.000	0.000	17.159	2.934
287	50.000	0.000	17.355	0.197
288	50.000	0.000	17.912	0.557
289	50.000	0.000	18.109	0.197
290	50.000	2.091	17.500	2.178
291	50.000	6.750	16.115	4.860
292	50.000	7.731	15.584	1.115
293	50.000	8.915	15.366	1.204
294	50.000	8.592	15.676	0.447
295	50.000	9.233	15.558	0.652
296	50.000	7.983	14.657	1.541
297	50.000	9.083	14.065	1.249
298	50.000	13.158	12.473	4.376
299	49.675	15.560	10.531	3.105
300	50.000	18.173	10.000	2.687
301	50.000	18.761	10.000	0.587
302	50.000	18.702	10.075	0.095
303	50.000	17.827	10.666	1.056
304	50.000	17.772	11.016	0.354
305	50.000	16.640	10.961	1.133
306	50.000	16.506	11.451	0.508
307	50.000	18.678	11.774	2.196
308	50.000	19.656	11.574	0.998
309	50.000	21.209	10.000	2.212
310	50.000	21.061	10.000	0.148
311	50.000	18.473	10.000	2.587
312	50.000	18.404	10.000	0.070
313	50.000	18.597	10.000	0.193
314	50.000	22.083	11.161	3.675
315	50.000	22.865	10.867	0.835
316	50.000	24.958	10.477	2.129
317	50.000	25.785	10.000	0.955
318	50.000	28.772	10.000	2.986
319	50.000	28.723	10.121	0.131
320	50.000	28.081	10.102	0.641
321	50.000	24.227	10.000	3.856
322	50.000	21.512	10.000	2.715
323	50.000	20.336	10.000	1.176
324	50.000	20.925	10.000	0.589
325	50.000	20.314	10.000	0.611
326	50.000	18.986	10.000	1.328
327	48.043	15.719	10.735	3.879
328	48.712	13.053	12.549	3.294
329	49.554	12.548	12.738	1.000
330	50.000	12.877	12.461	0.619
331	50.000	12.656	13.296	0.864
332	50.000	11.468	15.015	2.089
333	50.000	13.154	15.838	1.876
334	50.000	14.121	17.129	1.613
335	50.000	17.286	17.684	3.214
336	50.000	17.737	17.949	0.523
337	50.000	17.445	17.825	0.317
338	50.000	14.425	18.765	3.163
339	50.000	14.133	18.642	0.317
340	50.000	11.376	19.499	2.887
341	50.000	10.540	19.145	0.908
342	50.000	6.932	17.368	4.022
343	50.000	6.324	16.172	1.341
344	50.000	7.704	13.447	3.054
345	50.000	7.198	12.814	0.810
346	50.000	6.857	12.339	0.585
347	50.000	7.987	11.547	1.380
348	50.000	11.462	10.377	3.667
349	50.000	11.930	10.491	0.483
350	50.000	14.951	10.000	3.061
351	49.669	15.890	10.092	1.000
352	50.000	18.763	11.622	3.271
353	50.000	19.810	12.194	1.194
354	50.000	19.656	12.113	0.175
355	50.000	20.933	12.810	1.455
356	50.000	20.724	13.491	0.712
357	50.000	17.345	15.126	3.753
358	50.000	14.443	15.067	2.903
359	50.000	12.771	13.816	2.088
360	50.000	10.848	13.777	1.923
361	48.078	8.183	13.648	3.289
362	48.236	7.208	13.804	1.000
363	50.000	4.725	16.400	4.002
364	50.000	3.480	16.906	1.344
365	50.000	3.772	17.428	0.598
366	50.000	1.924	18.117	1.972
367	50.000	0.976	17.874	0.978
368	50.000	0.000	17.205	1.184
369	50.000	1.044	16.949	1.075
370	50.000	0.096	17.343	1.027
371	50.000	1.217	18.053	1.327
372	50.000	0.801	17.874	0.452
373	50.000	1.442	16.669	1.365
374	50.000	0.000	15.913	1.628
375	50.000	0.000	16.298	0.385
376	50.000	0.000	18.678	2.380
377	50.000	0.000	19.097	0.419
378	50.000	0.000	18.533	0.564
379	50.000	0.177	16.689	1.853
380	50.000	1.915	16.190	1.808
381	50.000	1.983	15.480	0.713
382	50.000	0.000	14.791	2.100
383	50.000	0.278	13.457	1.362
384	50.000	0.000	13.541	0.291
385	50.000	0.000	13.237	0.304
386	50.000	0.000	13.590	0.353
387	50.000	1.175	14.612	1.558
388	50.000	2.470	15.534	1.589
389	50.000	5.736	17.674	3.905
390	50.000	6.407	18.348	0.951
391	50.000	5.797	18.408	0.613
392	50.000	3.629	17.680	2.287
393	50.000	0.114	18.509	3.611
394	50.000	0.000	18.279	0.257
395	50.000	0.000	16.359	1.920
396	48.996	0.000	15.579	1.271
397	49.872	0.000	15.676	0.882
398	50.000	0.000	16.186	0.526
399	50.000	0.000	15.640	0.547
400	50.000	0.000	15.332	0.308
401	50.000	0.586	15.425	0.593
402	50.000	1.208	15.880	0.771
403	50.000	1.169	16.149	0.272
404	50.000	3.768	18.031	3.209
405	50.000	3.723	19.888	1.858
406	50.000	3.195	20.562	0.857
407	49.983	1.720	21.097	1.569
408	50.000	1.005	21.097	0.716
409	50.000	0.099	21.709	1.093
410	50.000	0.000	23.169	1.463
411	50.000	1.743	23.669	1.814
412	50.000	3.706	23.196	2.019
413	50.000	4.272	22.785	0.699
414	50.000	3.017	23.152	1.308
415	50.000	4.379	22.161	1.684
416	50.000	5.305	22.030	0.935
417	50.000	7.900	22.652	2.669
418	50.000	8.544	23.177	0.831
419	50.000	9.344	23.510	0.866
420	50.000	9.544	23.962	0.495
421	50.000	8.549	24.316	1.057
422	50.000	7.406	25.084	1.377
423	50.000	6.177	25.521	1.304
424	50.000	6.572	25.154	0.539
425	50.000	10.380	24.016	3.974
426	50.000	10.560	23.419	0.624
427	50.000	11.512	22.976	1.050
428	50.000	12.415	21.171	2.018
429	50.000	12.625	21.141	0.212
430	50.000	14.455	20.490	1.942
431	50.000	15.140	19.523	1.184
432	50.000	15.944	18.590	1.232
433	50.000	16.277	17.244	1.387
434	50.000	18.679	17.432	2.410
435	50.000	18.814	17.988	0.572
