UAV Trajectory Coordinates
Step	X(m)	Y(m)	Z(m)	Distance_from_prev
765	50.000	43.976	16.596	1.806
766	50.000	46.982	17.711	3.206
767	50.000	47.708	17.714	0.726
768	50.000	47.688	17.334	0.381
769	50.000	44.942	16.644	2.831
770	50.000	44.922	16.387	0.258
771	50.000	43.914	16.572	1.025
772	50.000	43.894	16.834	0.262
773	50.000	46.413	16.364	2.563
774	50.000	46.393	16.625	0.262
775	50.000	44.694	16.629	1.699
776	50.000	44.650	17.512	0.884
777	50.000	47.365	17.519	2.716
778	50.000	48.488	17.989	1.217
779	50.000	48.715	19.139	1.172
780	50.000	49.655	19.301	0.953
781	50.000	50.000	18.060	1.288
782	50.000	50.000	17.652	0.408
783	50.000	48.618	17.945	1.413
784	50.000	44.332	17.117	4.365
785	50.000	44.043	16.614	0.581
786	50.000	45.368	15.116	1.999
787	50.000	44.110	14.895	1.277
788	50.000	44.538	14.820	0.435
789	50.000	44.103	15.247	0.609
790	50.000	43.053	15.160	1.054
791	50.000	41.989	16.205	1.491
792	50.000	38.046	17.756	4.237
793	49.056	35.394	20.297	3.792
794	48.142	34.840	20.677	1.135
795	47.166	30.879	21.895	4.257
796	48.064	28.283	21.613	2.761
797	48.959	27.848	21.521	1.000
798	50.000	24.775	21.854	3.262
799	50.000	24.390	22.329	0.611
800	50.000	25.329	25.694	3.494
801	50.000	26.663	26.282	1.458
802	50.000	28.517	26.220	1.855
803	50.000	29.158	24.700	1.649
804	50.000	27.841	22.489	2.574
805	50.000	27.070	21.869	0.989
806	48.299	23.501	20.280	4.261
807	48.914	21.768	18.594	2.494
808	50.000	20.954	17.137	1.992
809	50.000	16.671	15.860	4.470
810	50.000	16.288	15.226	0.740
811	50.000	12.145	14.654	4.183
812	49.904	10.698	15.052	1.504
813	48.366	9.352	14.914	2.049
814	48.169	6.374	15.919	3.149
815	50.000	3.712	15.678	3.240
816	49.886	1.999	16.256	1.812
817	50.000	0.000	16.297	2.002
818	49.732	0.000	18.022	1.746
819	50.000	0.000	18.050	0.270
820	50.000	0.000	18.644	0.594
821	50.000	2.081	18.715	2.082
822	50.000	2.019	18.353	0.367
823	50.000	1.267	18.376	0.752
824	50.000	1.188	18.901	0.531
825	50.000	3.118	19.594	2.050
826	50.000	3.052	19.434	0.173
827	50.000	2.320	19.664	0.767
828	50.000	2.116	19.164	0.540
829	50.000	3.017	18.320	1.235
830	50.000	2.779	17.736	0.630
831	50.000	0.935	18.746	2.102
832	50.000	1.219	19.269	0.595
833	50.000	3.074	19.597	1.884
834	50.000	4.240	19.394	1.184
835	50.000	7.658	18.977	3.443
836	49.897	12.476	19.774	4.885
837	50.000	15.498	20.310	3.071
838	49.979	16.497	20.267	1.000
839	46.572	19.761	19.287	4.818
840	46.478	24.158	18.987	4.409
841	47.616	25.347	18.457	1.729
842	47.591	26.508	18.552	1.165
843	50.000	29.979	19.020	4.251
844	49.933	33.082	18.075	3.244
845	50.000	34.040	18.172	0.965
846	50.000	35.213	18.465	1.210
847	50.000	35.601	19.294	0.916
848	50.000	38.799	19.597	3.212
849	49.323	42.119	18.498	3.562
850	50.000	45.086	18.589	3.044
851	50.000	45.689	19.931	1.471
852	50.000	45.203	20.405	0.679
853	50.000	45.402	20.506	0.223
854	50.000	46.720	19.468	1.677
855	50.000	46.337	19.569	0.396
856	50.000	47.656	19.211	1.367
857	50.000	46.395	18.965	1.285
858	50.000	43.869	16.868	3.283
859	50.000	42.649	15.403	1.906
860	50.000	44.082	15.794	1.486
861	50.000	42.400	17.634	2.493
862	50.000	43.014	19.399	1.869
863	50.000	42.555	19.713	0.555
864	50.000	43.832	19.351	1.327
865	50.000	44.674	19.656	0.895
866	50.000	45.259	19.573	0.592
867	50.000	45.015	18.767	0.842
868	50.000	42.762	18.535	2.265
869	50.000	39.091	19.198	3.731
870	50.000	36.037	21.156	3.627
871	50.000	35.219	21.590	0.926
872	50.000	36.756	22.983	2.075
873	50.000	36.749	23.148	0.166
874	50.000	37.289	23.095	0.543
875	50.000	36.721	23.486	0.690
876	50.000	36.204	23.493	0.518
877	50.000	37.924	23.305	1.730
878	50.000	41.631	23.063	3.715
879	50.000	42.114	22.623	0.654
880	50.000	41.491	21.776	1.051
881	50.000	42.416	20.391	1.666
882	50.000	42.102	19.723	0.738
883	50.000	44.086	17.296	3.135
884	50.000	47.889	16.018	4.012
885	50.000	48.327	15.423	0.738
886	50.000	50.000	14.732	1.810
887	50.000	50.000	14.829	0.097
888	50.000	49.375	13.911	1.111
889	50.000	46.370	14.259	3.025
890	49.238	42.710	13.343	3.849
891	49.781	41.881	13.212	1.000
892	49.108	38.649	13.719	3.340
893	50.000	35.932	14.899	3.093
894	50.000	34.971	14.690	0.983
895	50.000	35.486	15.031	0.618
896	50.000	38.495	14.895	3.011
897	50.000	40.281	16.079	2.143
898	50.000	39.715	15.955	0.580
899	50.000	39.987	15.611	0.439
900	50.000	38.049	15.740	1.943
901	50.000	37.528	16.005	0.584
902	50.000	37.740	15.881	0.246
903	50.000	35.392	14.100	2.947
904	50.000	35.876	14.109	0.485
905	50.000	35.345	13.706	0.667
906	50.000	33.729	13.713	1.617
907	50.000	33.190	13.767	0.542
908	50.000	33.387	14.149	0.430
909	50.000	35.217	15.334	2.180
910	49.656	36.792	16.130	1.798
911	50.000	38.536	16.267	1.783
912	50.000	39.366	16.265	0.830
913	49.324	42.818	17.714	3.804
914	48.922	45.198	17.710	2.414
915	49.881	46.546	17.819	1.658
916	49.138	50.000	16.306	3.843
917	50.000	50.000	14.782	1.751
918	50.000	50.000	14.226	0.556
919	50.000	47.767	14.155	2.234
920	50.000	48.166	14.931	0.873
921	50.000	46.701	14.884	1.466
922	50.000	44.926	14.096	1.943
923	50.000	43.929	14.078	0.997
924	50.000	43.323	14.445	0.708
925	50.000	43.540	14.394	0.224
926	50.000	44.648	13.759	1.277
927	50.000	44.874	11.422	2.348
928	50.000	47.892	10.000	3.336
929	50.000	47.965	10.000	0.073
930	50.000	46.934	10.000	1.031
931	50.000	47.258	10.000	0.324
932	50.000	49.865	10.000	2.607
933	49.633	50.000	10.000	0.391
934	50.000	50.000	10.000	0.367
935	50.000	50.000	10.000	0.000
936	50.000	50.000	10.174	0.174
937	49.956	50.000	10.363	0.194
938	49.220	50.000	10.456	0.741
939	49.106	50.000	11.695	1.244
940	50.000	50.000	12.347	1.106
941	50.000	50.000	13.344	0.997
942	50.000	47.999	15.800	3.168
943	50.000	48.498	16.166	0.618
944	50.000	47.764	17.067	1.162
945	50.000	46.931	17.581	0.979
946	50.000	46.418	17.727	0.533
947	50.000	42.599	16.740	3.944
948	50.000	40.442	17.357	2.244
949	50.000	40.041	17.934	0.703
950	50.000	36.091	18.703	4.024
951	49.593	35.202	18.492	1.000
952	50.000	33.667	18.791	1.616
953	50.000	32.674	18.819	0.993
954	50.000	31.639	18.641	1.051
955	50.000	29.454	19.221	2.260
956	50.000	29.025	19.215	0.429
957	50.000	26.025	20.628	3.316
958	49.653	24.494	20.623	1.571
959	48.086	21.065	20.749	3.772
960	45.268	18.013	19.189	4.437
961	45.443	13.610	19.337	4.410
962	45.160	12.332	19.871	1.413
963	46.539	10.169	20.335	2.607
964	45.642	6.114	19.434	4.250
965	43.491	3.699	17.191	3.936
966	43.714	0.000	16.350	3.800
967	44.973	0.000	16.655	1.296
968	49.238	0.000	16.001	4.314
969	50.000	1.172	14.573	1.999
970	50.000	2.698	14.303	1.550
971	50.000	4.879	12.776	2.662
972	50.000	5.089	12.958	0.278
973	50.000	4.726	12.632	0.488
974	50.000	5.907	12.823	1.197
975	50.000	7.100	12.882	1.194
976	48.872	9.836	12.077	3.067
977	48.723	11.297	12.265	1.480
978	50.000	13.792	11.389	2.936
979	50.000	14.132	10.036	1.395
980	50.000	13.022	10.053	1.110
981	50.000	10.440	11.158	2.809
982	49.388	9.683	11.389	1.000
983	49.491	8.701	11.229	1.000
984	50.000	7.750	11.373	1.089
985	50.000	6.799	11.079	0.995
986	50.000	4.581	11.098	2.219
987	50.000	0.894	12.931	4.117
988	49.601	0.000	12.940	0.979
989	48.695	0.000	14.514	1.817
990	50.000	0.000	16.513	2.387
991	49.562	0.000	16.579	0.443
992	50.000	0.000	17.557	1.072
993	50.000	0.000	17.629	0.072
994	50.000	0.000	18.236	0.607
995	50.000	0.901	18.298	0.904
996	50.000	2.991	17.469	2.249
997	50.000	3.898	17.408	0.908
998	50.000	5.136	16.461	1.558
999	50.000	3.807	16.890	1.397
